#,Company,Symbol,Weight,Price,Chg,% Chg
431,Franklin Resources Inc.,BEN,0.027412,17.79,-1.64,(-8.44%)
432,Interpublic Group of Companies Inc.,IPG,0.027201,13.25,-0.86,(-6.06%)
433,LKQ Corporation,LKQ,0.026793,16.96,-0.42,(-2.42%)
434,Nielsen Holdings Plc,NLSN,0.026544,14.23,-0.91,(-6.01%)
435,Fortune Brands Home & Security Inc.,FBHS,0.026365,37.08,-0.64,(-1.70%)
436,Federal Realty Investment Trust,FRT,0.026343,75.78,0.25,(0.33%)
437,Vornado Realty Trust,VNO,0.02607,32.37,-0.53,(-1.61%)
438,Whirlpool Corporation,WHR,0.025885,78.66,-3.91,(-4.74%)
439,Darden Restaurants Inc.,DRI,0.025865,38.20,-4.23,(-9.96%)
440,Assurant Inc.,AIZ,0.025637,91.88,8.44,(10.12%)
441,A. O. Smith Corporation,AOS,0.025499,35.37,-1.48,(-4.02%)
442,CF Industries Holdings Inc.,CF,0.025096,23.19,0.21,(0.91%)
443,PulteGroup Inc.,PHM,0.025089,20.14,0.61,(3.10%)
444,Rollins Inc.,ROL,0.02507,35.26,-0.34,(-0.96%)
445,Newell Brands Inc,NWL,0.024021,11.67,-0.76,(-6.11%)
446,Zions Bancorporation N.A.,ZION,0.02327,26.99,-0.26,(-0.95%)
447,Live Nation Entertainment Inc.,LYV,0.023252,34.09,1.17,(3.55%)
448,Apartment Investment & Management Co Class A,AIV,0.023192,31.06,-0.13,(-0.42%)
449,United Airlines Holdings Inc.,UAL,0.02319,25.46,4.18,(19.64%)
450,Robert Half International Inc.,RHI,0.022468,36.48,-1.72,(-4.50%)
451,Wynn Resorts Limited,WYNN,0.022428,54.53,7.95,(17.07%)
452,BorgWarner Inc.,BWA,0.021591,21.37,0.36,(1.72%)
453,Kimco Realty Corporation,KIM,0.021312,10.67,0.42,(4.10%)
454,Halliburton Company,HAL,0.021118,5.17,0.37,(7.71%)
455,FLIR Systems Inc.,FLIR,0.021061,30.91,-0.49,(-1.56%)
456,Comerica Incorporated,CMA,0.020899,28.64,-0.31,(-1.07%)
457,SL Green Realty Corp.,SLG,0.020604,51.13,1.15,(2.30%)
458,Pentair plc,PNR,0.020583,25.09,0.61,(2.49%)
459,American Airlines Group Inc.,AAL,0.020323,10.60,0.31,(3.01%)
460,MGM Resorts International,MGM,0.020084,9.75,2.05,(26.58%)
461,Mohawk Industries Inc.,MHK,0.019885,61.77,-4.61,(-6.94%)
462,Carnival Corporation,CCL,0.019872,11.73,1.73,(17.26%)
463,National Oilwell Varco Inc.,NOV,0.019655,10.74,0.45,(4.37%)
464,Quanta Services Inc.,PWR,0.019515,26.13,-0.85,(-3.15%)
