,Company  Name,Details,Symbol,First Trade Date,sector / industry
1088,(DRIP)  Direxion Dly S&P Oil&Gs Ex&Prd Br 3X ETF,Stock Research for DRIP,DRIP,2015-05-29,"('Trading--Inverse Equity', None)"
1708,(GUSH)  Direxion Dly S&P Oil&Gs Ex&Prd Bl 3X ETF,Stock Research for GUSH,GUSH,2015-05-29,"('Trading--Leveraged Equity', None)"
4623,(GUSH)  Direxion Dly S&P Oil&Gs Ex&Prd Bl 3X ETF,Stock Research for GUSH,GUSH,2015-05-29,"('Trading--Leveraged Equity', None)"
4470,(DRIP)  Direxion Dly S&P Oil&Gs Ex&Prd Br 3X ETF,Stock Research for DRIP,DRIP,2015-05-29,"('Trading--Inverse Equity', None)"
1633,(GNL)  Global Net Lease Inc.,Stock Research for GNL,GNL,2015-06-02,"('Real Estate', 'REIT—Office')"
132,(AKTS)  Akoustis Techs. Inc.,Stock Research for AKTS,AKTS,2015-06-04,"('Technology', 'Communication Equipment')"
1283,(EVH)  Evolent Health Inc.,Stock Research for EVH,EVH,2015-06-05,"('Healthcare', 'Health Information Services')"
1102,(DTEA)  DAVIDsTEA Inc.,Stock Research for DTEA,DTEA,2015-06-05,"('Consumer Defensive', 'Packaged Foods')"
365,(AXGT)  Axovant Sciences Ltd.,Stock Research for AXGT,AXGT,2015-06-11,"('Healthcare', 'Biotechnology')"
4838,(PTNQ)  Pacer Trendpilot 100 ETF,Stock Research for PTNQ,PTNQ,2015-06-12,"('Large Growth', None)"
3078,(PTLC)  Pacer Trendpilot US Large Cap ETF,Stock Research for PTLC,PTLC,2015-06-12,"('Large Blend', None)"
