,Company  Name,Details,Symbol,First Trade Date,sector / industry
1344,(FBC)  Flagstar Bancorp Inc.,Stock Research for FBC,FBC,1997-04-30,"('Financial Services', 'Banks—Regional')"
4119,(VTR)  Ventas Inc.,Stock Research for VTR,VTR,1997-05-05,"('Real Estate', 'REIT—Healthcare Facilities')"
3238,(RMBS)  Rambus Inc.,Stock Research for RMBS,RMBS,1997-05-14,"('Technology', 'Semiconductors')"
200,(AMZN)  Amazon.com Inc.,Stock Research for AMZN,AMZN,1997-05-15,"('Consumer Cyclical', 'Internet Retail')"
261,(ARE)  Alexandria Real Estate Equities Inc.,Stock Research for ARE,ARE,1997-05-28,"('Real Estate', 'REIT—Office')"
3301,(RYAAY)  Ryanair Hldgs. PLC,Stock Research for RYAAY,RYAAY,1997-05-29,"('Industrials', 'Airlines')"
3592,(SRPT)  Sarepta Therapeutics Inc.,Stock Research for SRPT,SRPT,1997-06-04,"('Healthcare', 'Biotechnology')"
3229,(RL)  Polo Ralph Lauren Corp,Stock Research for RL,RL,1997-06-12,"('Consumer Cyclical', 'Apparel Manufacturing')"
2493,(MMS)  MAXIMUS Inc.,Stock Research for MMS,MMS,1997-06-13,"('Industrials', 'Specialty Business Services')"
3472,(SLP)  Simulations Plus Inc.,Stock Research for SLP,SLP,1997-06-18,"('Healthcare', 'Health Information Services')"
583,(BXP)  Boston Properties Inc.,Stock Research for BXP,BXP,1997-06-18,"('Real Estate', 'REIT—Office')"
3594,(SRT)  StarTek Inc.,Stock Research for SRT,SRT,1997-06-19,"('Industrials', 'Specialty Business Services')"
3015,(PPBI)  Pacific Premier Bancorp Inc.,Stock Research for PPBI,PPBI,1997-06-25,"('Financial Services', 'Banks—Regional')"
1412,(FIX)  Comfort Systems USA Inc.,Stock Research for FIX,FIX,1997-06-27,"('Industrials', 'Engineering & Construction')"
1792,(HLX)  Helix Energy Solutions,Stock Research for HLX,HLX,1997-07-01,"('Energy', 'Oil & Gas Equipment & Services')"
1171,(EGHT)  8x8 Inc.,Stock Research for EGHT,EGHT,1997-07-02,"('Technology', 'Software—Application')"
965,(CXW)  Corrections Corp. of America,Stock Research for CXW,CXW,1997-07-15,"('Real Estate', 'REIT—Specialty')"
2852,(OZK)  Bank OZK,Stock Research for OZK,OZK,1997-07-17,"('Financial Services', 'Banks—Regional')"
2118,(JLL)  Jones Lang Lasalle Inc.,Stock Research for JLL,JLL,1997-07-17,"('Real Estate', 'Real Estate Services')"
4329,(ZNH)  China Southern Airlines Co. Ltd.,Stock Research for ZNH,ZNH,1997-07-30,"('Industrials', 'Airlines')"
1148,(EDAP)  EDAP TMS S.A.,Stock Research for EDAP,EDAP,1997-08-01,"('Healthcare', 'Medical Devices')"
2549,(MT)  ArcelorMittal,Stock Research for MT,MT,1997-08-07,"('Basic Materials', 'Steel')"
3093,(PXD)  Pioneer Natural Resources Co.,Stock Research for PXD,PXD,1997-08-08,"('Energy', 'Oil & Gas E&P')"
2295,(LKFN)  Lakeland Financial Corp.,Stock Research for LKFN,LKFN,1997-08-14,"('Financial Services', 'Banks—Regional')"
3468,(SLG)  SL Green Realty Corp.,Stock Research for SLG,SLG,1997-08-15,"('Real Estate', 'REIT—Office')"
3058,(PSMT)  PriceSmart Inc.,Stock Research for PSMT,PSMT,1997-09-02,"('Consumer Defensive', 'Discount Stores')"
3433,(SIGA)  SIGA Technologies Inc.,Stock Research for SIGA,SIGA,1997-09-10,"('Healthcare', 'Biotechnology')"
4310,(YUM)  Yum Brands Inc.,Stock Research for YUM,YUM,1997-09-17,"('Consumer Cyclical', 'Restaurants')"
1338,(FARO)  FARO Techs. Inc.,Stock Research for FARO,FARO,1997-09-18,"('Technology', 'Scientific & Technical Instruments')"
2983,(PLCE)  Childrens Place Inc. (The),Stock Research for PLCE,PLCE,1997-09-19,"('Consumer Cyclical', 'Apparel Retail')"
2596,(NAT)  Nordic American Tankers Ltd.,Stock Research for NAT,NAT,1997-09-30,"('Industrials', 'Marine Shipping')"
2832,(OSIS)  OSI Systems Inc.,Stock Research for OSIS,OSIS,1997-10-02,"('Technology', 'Electronic Components')"
2001,(INVE)  Identive Group Inc.,Stock Research for INVE,INVE,1997-10-07,"('Technology', 'Computer Hardware')"
2667,(NLY)  Annaly Capital Management Inc.,Stock Research for NLY,NLY,1997-10-08,"('Real Estate', 'REIT—Mortgage')"
593,(CAC)  Camden National Corp.,Stock Research for CAC,CAC,1997-10-08,"('Financial Services', 'Banks—Regional')"
3848,(TSM)  Taiwan Semicon. Manuf. Co. Ltd.,Stock Research for TSM,TSM,1997-10-09,"('Technology', 'Semiconductors')"
3588,(SRI)  Stoneridge Inc.,Stock Research for SRI,SRI,1997-10-10,"('Consumer Cyclical', 'Auto Parts')"
719,(CHRW)  CH Robinson Worldwide Inc.,Stock Research for CHRW,CHRW,1997-10-16,"('Industrials', 'Integrated Freight & Logistics')"
2027,(IRET)  Investors Real Estate Trust,Stock Research for IRET,IRET,1997-10-17,"('Real Estate', 'REIT—Residential')"
2819,(ORAN)  Orange,Stock Research for ORAN,ORAN,1997-10-20,"('Communication Services', 'Telecom Services')"
715,(CHL)  China Telecom Limited ADS,Stock Research for CHL,CHL,1997-10-22,"('Communication Services', 'Telecom Services')"
1091,(DRQ)  Dril-Quip Inc.,Stock Research for DRQ,DRQ,1997-10-23,"('Energy', 'Oil & Gas Equipment & Services')"
1368,(FDP)  Fresh Del Monte Prod. Inc.,Stock Research for FDP,FDP,1997-10-24,"('Consumer Defensive', 'Farm Products')"
959,(CWST)  Casella Waste Sys. Inc.,Stock Research for CWST,CWST,1997-10-29,"('Industrials', 'Waste Management')"
1658,(GPI)  Group I Automotive Inc.,Stock Research for GPI,GPI,1997-10-30,"('Consumer Cyclical', 'Auto & Truck Dealerships')"
902,(CSU)  Capital Senior Living Corp.,Stock Research for CSU,CSU,1997-10-31,"('Healthcare', 'Medical Care Facilities')"
2347,(LTMAQ)  LATAM Airlines Group S.A.,Stock Research for LTMAQ,LTMAQ,1997-11-07,"('Industrials', 'Airlines')"
1372,(FE)  Firstenergy Corp.,Stock Research for FE,FE,1997-11-10,"('Utilities', 'Utilities—Diversified')"
3315,(SAH)  Sonic Automotive Inc.,Stock Research for SAH,SAH,1997-11-12,"('Consumer Cyclical', 'Auto & Truck Dealerships')"
768,(CM)  Canadian Imperial Bank of Commerce,Stock Research for CM,CM,1997-11-13,"('Financial Services', 'Banks—Diversified')"
2552,(MTD)  Mettler-Toledo Intl. Inc.,Stock Research for MTD,MTD,1997-11-14,"('Healthcare', 'Diagnostics & Research')"
1232,(EPR)  EPR Properties,Stock Research for EPR,EPR,1997-11-18,"('Real Estate', 'REIT—Retail')"
174,(AMG)  Affiliated Mgrs. Gp.,Stock Research for AMG,AMG,1997-11-21,"('Financial Services', 'Asset Management')"
1575,(GEOS)  Geospace Technologies Corp.,Stock Research for GEOS,GEOS,1997-11-21,"('Energy', 'Oil & Gas Equipment & Services')"
3246,(RNWK)  RealNetworks Inc.,Stock Research for RNWK,RNWK,1997-11-21,"('Communication Services', 'Electronic Gaming & Multimedia')"
2984,(PLD)  ProLogis Inc.,Stock Research for PLD,PLD,1997-11-21,"('Real Estate', 'REIT—Industrial')"
300,(ASRT)  Assertio Therapeutics Inc.,Stock Research for ASRT,ASRT,1997-12-03,"('Healthcare', 'Drug Manufacturers—Specialty & Generic')"
1985,(INGR)  Intergraph Corp.,Stock Research for INGR,INGR,1997-12-11,"('Consumer Defensive', 'Packaged Foods')"
3012,(POWI)  Power Integrations Inc.,Stock Research for POWI,POWI,1997-12-12,"('Technology', 'Semiconductors')"
3959,(URI)  United Rentals Inc.,Stock Research for URI,URI,1997-12-18,"('Industrials', 'Rental & Leasing Services')"
2759,(NYMX)  Nymox Pharmaceutical Corp.,Stock Research for NYMX,NYMX,1997-12-22,"('Healthcare', 'Biotechnology')"
75,(AEE)  Ameren Corp.,Stock Research for AEE,AEE,1998-01-02,"('Utilities', 'Utilities—Regulated Electric')"
1017,(DENN)  Denny`s Corp.,Stock Research for DENN,DENN,1998-01-08,"('Consumer Cyclical', 'Restaurants')"
4236,(WWR)  Westwater Resources Inc.,Stock Research for WWR,WWR,1998-01-12,"('Basic Materials', 'Other Industrial Metals & Mining')"
1040,(DIA)  SPDR Dow Jones Industrial Average ETF,Stock Research for DIA,DIA,1998-01-20,"('Large Value', None)"
4463,(DIA)  SPDR Dow Jones Industrial Average ETF,Stock Research for DIA,DIA,1998-01-20,"('Large Value', None)"
4203,(WPC)  W.P. Carey Inc.,Stock Research for WPC,WPC,1998-01-21,"('Real Estate', 'REIT—Diversified')"
3241,(RMTI)  Rockwell Medical Technologies Inc.,Stock Research for RMTI,RMTI,1998-01-27,"('Healthcare', 'Drug Manufacturers—Specialty & Generic')"
1813,(HOPE)  Hope Bancorp Inc.,Stock Research for HOPE,HOPE,1998-01-29,"('Financial Services', 'Banks—Regional')"
3026,(PRDO)  Perdoceo Education Corp.,Stock Research for PRDO,PRDO,1998-01-29,"('Consumer Defensive', 'Education & Training Services')"
2525,(MRCY)  Mercury Computer Systems Inc.,Stock Research for MRCY,MRCY,1998-01-30,"('Industrials', 'Aerospace & Defense')"
4104,(VRSN)  Verisign Inc.,Stock Research for VRSN,VRSN,1998-01-30,"('Technology', 'Software—Infrastructure')"
3092,(PWR)  Quanta Services Inc.,Stock Research for PWR,PWR,1998-02-12,"('Industrials', 'Engineering & Construction')"
3370,(SCS)  Steelcase Inc.,Stock Research for SCS,SCS,1998-02-18,"('Industrials', 'Business Equipment & Supplies')"
194,(AMT)  American Tower Corp.,Stock Research for AMT,AMT,1998-02-27,"('Real Estate', 'REIT—Specialty')"
807,(CNXN)  PC Connection Inc.,Stock Research for CNXN,CNXN,1998-03-03,"('Technology', 'Electronics & Computer Distribution')"
3582,(SRDX)  Surmodics Inc.,Stock Research for SRDX,SRDX,1998-03-04,"('Healthcare', 'Diagnostics & Research')"
3551,(SPNS)  Sapiens International Corp. N.V.,Stock Research for SPNS,SPNS,1998-03-05,"('Technology', 'Software—Application')"
4158,(WDR)  Waddell & Reed Fin.,Stock Research for WDR,WDR,1998-03-05,"('Financial Services', 'Asset Management')"
3147,(RBA)  Ritchie Bros. Auctioneers Inc.,Stock Research for RBA,RBA,1998-03-10,"('Industrials', 'Specialty Business Services')"
210,(ANH)  Anworth Mortgage Asset Corp.,Stock Research for ANH,ANH,1998-03-12,"('Real Estate', 'REIT—Mortgage')"
546,(BRKL)  Brookline Bancorp Inc.,Stock Research for BRKL,BRKL,1998-03-25,"('Financial Services', 'Banks—Regional')"
820,(COLM)  Columbia Sportswear Corp.,Stock Research for COLM,COLM,1998-03-27,"('Consumer Cyclical', 'Apparel Manufacturing')"
3232,(RLH)  Red Lion Hotels Corp.,Stock Research for RLH,RLH,1998-04-03,"('Consumer Cyclical', 'Lodging')"
2438,(MFA)  MFA Financial Inc.,Stock Research for MFA,MFA,1998-04-13,"('Real Estate', 'REIT—Mortgage')"
3990,(UVSP)  Univest Corporation of Pennsylvania,Stock Research for UVSP,UVSP,1998-04-16,"('Financial Services', 'Banks—Regional')"
4225,(WTFC)  Wintrust Financial Corp.,Stock Research for WTFC,WTFC,1998-04-16,"('Financial Services', 'Banks—Regional')"
2377,(MANH)  Manhattan Assoc. Inc.,Stock Research for MANH,MANH,1998-04-23,"('Technology', 'Software—Application')"
857,(CRAI)  CRA International Inc.,Stock Research for CRAI,CRAI,1998-04-24,"('Industrials', 'Consulting Services')"
178,(AMKR)  Amkor Tech. Inc.,Stock Research for AMKR,AMKR,1998-05-01,"('Technology', 'Semiconductors')"
1773,(HFWA)  Heritage Financial Corp,Stock Research for HFWA,HFWA,1998-05-07,"('Financial Services', 'Banks—Regional')"
1123,(DXPE)  DXP Enterprises Inc.,Stock Research for DXPE,DXPE,1998-05-07,"('Industrials', 'Industrial Distribution')"
1437,(FMX)  Fomento Economico Mexicano SAB de CV ADS,Stock Research for FMX,FMX,1998-05-11,"('Consumer Defensive', 'Beverages—Brewers')"
2006,(IOSP)  Innospec Inc.,Stock Research for IOSP,IOSP,1998-05-13,"('Basic Materials', 'Specialty Chemicals')"
3343,(SBSI)  Southside Bancshares Inc.,Stock Research for SBSI,SBSI,1998-05-13,"('Financial Services', 'Banks—Regional')"
1395,(FHI)  Federated Hermes Inc.,Stock Research for FHI,FHI,1998-05-14,"('Financial Services', 'Asset Management')"
2994,(PLX)  Protalix BioTherapeutics Inc.,Stock Research for PLX,PLX,1998-05-15,"('Healthcare', 'Biotechnology')"
1901,(ICLR)  ICON plc,Stock Research for ICLR,ICLR,1998-05-15,"('Healthcare', 'Diagnostics & Research')"
2397,(MCBC)  Macatawa Bank Corp.,Stock Research for MCBC,MCBC,1998-05-20,"('Financial Services', 'Banks—Regional')"
372,(AXTI)  AXT Inc.,Stock Research for AXTI,AXTI,1998-05-21,"('Technology', 'Semiconductor Equipment & Materials')"
2834,(OSPN)  OneSpan Inc.,Stock Research for OSPN,OSPN,1998-05-21,"('Technology', 'Software—Application')"
4153,(WCN)  Waste Connections Inc.,Stock Research for WCN,WCN,1998-05-22,"('Industrials', 'Waste Management')"
741,(CLAR)  Clarus Corp.,Stock Research for CLAR,CLAR,1998-05-27,"('Consumer Cyclical', 'Leisure')"
1748,(HCKT)  Hackett Group Inc. (The),Stock Research for HCKT,HCKT,1998-05-28,"('Technology', 'Information Technology Services')"
3940,(UMPQ)  Umpqua Holdings Corp.,Stock Research for UMPQ,UMPQ,1998-06-03,"('Financial Services', 'Banks—Regional')"
1193,(ELP)  Companhia Paranaense de Energia-Copel,Stock Research for ELP,ELP,1998-06-03,"('Utilities', 'Utilities—Diversified')"
1875,(HZO)  MarineMax Inc.,Stock Research for HZO,HZO,1998-06-03,"('Consumer Cyclical', 'Specialty Retail')"
2548,(MSTR)  Microstrategy Inc.,Stock Research for MSTR,MSTR,1998-06-11,"('Technology', 'Software—Application')"
1595,(GIL)  Gildan Activewear Inc.,Stock Research for GIL,GIL,1998-06-19,"('Consumer Cyclical', 'Apparel Manufacturing')"
917,(CTSH)  Cognizant Tech. Solution Corp.,Stock Research for CTSH,CTSH,1998-06-19,"('Technology', 'Information Technology Services')"
1079,(DOX)  Amdocs Ltd.,Stock Research for DOX,DOX,1998-06-19,"('Technology', 'Software—Infrastructure')"
3583,(SRE)  Sempra Energy,Stock Research for SRE,SRE,1998-06-29,"('Utilities', 'Utilities—Diversified')"
761,(CLS)  Celestica Inc.,Stock Research for CLS,CLS,1998-06-30,"('Technology', 'Electronic Components')"
891,(CSGP)  CoStar Group Inc.,Stock Research for CSGP,CSGP,1998-07-01,"('Real Estate', 'Real Estate Services')"
3273,(RSG)  Republic Services Inc. Class A,Stock Research for RSG,RSG,1998-07-01,"('Industrials', 'Waste Management')"
3453,(SJR)  Shaw Communications Inc.,Stock Research for SJR,SJR,1998-07-01,"('Communication Services', 'Telecom Services')"
437,(BELFB)  Bel Fuse Inc.,Stock Research for BELFB,BELFB,1998-07-10,"('Technology', 'Electronic Components')"
1840,(HTBK)  Heritage Commerce Corp.,Stock Research for HTBK,HTBK,1998-07-20,"('Financial Services', 'Banks—Regional')"
3150,(RBCAA)  Republic Bancorp Inc.,Stock Research for RBCAA,RBCAA,1998-07-22,"('Financial Services', 'Banks—Regional')"
2271,(LEU)  Centrus Energy Corp.,Stock Research for LEU,LEU,1998-07-23,"('Energy', 'Uranium')"
1228,(EPD)  Enterprise Products Partners LP,Stock Research for EPD,EPD,1998-07-28,"('Energy', 'Oil & Gas Midstream')"
331,(AU)  Anglogold Ashanti Ltd.,Stock Research for AU,AU,1998-08-05,"('Basic Materials', 'Gold')"
3902,(UBA)  Urstadt Biddle Properties Inc.,Stock Research for UBA,UBA,1998-08-17,"('Real Estate', 'REIT—Retail')"
644,(CCI)  Crown Castle Intl. Corp.,Stock Research for CCI,CCI,1998-08-18,"('Real Estate', 'REIT—Specialty')"
1132,(EBAY)  eBay Inc.,Stock Research for EBAY,EBAY,1998-09-24,"('Consumer Cyclical', 'Internet Retail')"
2724,(NTWK)  NetSol Technologies Inc.,Stock Research for NTWK,NTWK,1998-09-25,"('Technology', 'Software—Application')"
573,(BUSE)  First Busey Corp.,Stock Research for BUSE,BUSE,1998-10-06,"('Financial Services', 'Banks—Regional')"
1591,(GIB)  CGI Group Inc.,Stock Research for GIB,GIB,1998-10-07,"('Technology', 'Information Technology Services')"
1448,(FNHC)  Federated National Holding Co,Stock Research for FNHC,FNHC,1998-11-05,"('Financial Services', 'Insurance—Property & Casualty')"
2870,(PB)  Prosperity Bancshares Inc.,Stock Research for PB,PB,1998-11-12,"('Financial Services', 'Banks—Regional')"
4054,(VIV)  Vivo Participacoes S.A.,Stock Research for VIV,VIV,1998-11-16,"('Communication Services', 'Telecom Services')"
2853,(PAA)  Plains All American Pipeline LP,Stock Research for PAA,PAA,1998-11-18,"('Energy', 'Oil & Gas Midstream')"
3499,(SNBR)  Sleep Number Corp.,Stock Research for SNBR,SNBR,1998-12-04,"('Consumer Cyclical', 'Furnishings, Fixtures & Appliances')"
1988,(INO)  Inovio Pharmaceuticals Inc.,Stock Research for INO,INO,1998-12-08,"('Healthcare', 'Biotechnology')"
421,(BCOR)  Blucora Inc.,Stock Research for BCOR,BCOR,1998-12-15,"('Financial Services', 'Asset Management')"
5060,(XLE)  Energy Select Sector SPDR ETF,Stock Research for XLE,XLE,1998-12-22,"('Equity Energy', None)"
5062,(XLI)  Industrial Select Sector SPDR ETF,Stock Research for XLI,XLI,1998-12-22,"('Industrials', None)"
4269,(XLY)  Consumer Discretionary SPDR ETF,Stock Research for XLY,XLY,1998-12-22,"('Consumer Cyclical', None)"
5068,(XLY)  Consumer Discretionary SPDR ETF,Stock Research for XLY,XLY,1998-12-22,"('Consumer Cyclical', None)"
5061,(XLF)  Financial Select Sector SPDR Fund ETF,Stock Research for XLF,XLF,1998-12-22,"('Financial', None)"
5066,(XLU)  Utilities Select Sector SPDR Fund ETF,Stock Research for XLU,XLU,1998-12-22,"('Utilities', None)"
5063,(XLK)  Technology Select Sector SPDR ETF,Stock Research for XLK,XLK,1998-12-22,"('Technology', None)"
4260,(XLF)  Financial Select Sector SPDR Fund ETF,Stock Research for XLF,XLF,1998-12-22,"('Financial', None)"
5067,(XLV)  Health Care Select Sector SPDR ETF,Stock Research for XLV,XLV,1998-12-22,"('Health', None)"
4259,(XLE)  Energy Select Sector SPDR ETF,Stock Research for XLE,XLE,1998-12-22,"('Equity Energy', None)"
5058,(XLB)  Materials Select Sector SPDR ETF,Stock Research for XLB,XLB,1998-12-22,"('Natural Resources', None)"
4264,(XLP)  Consumer Staples Select Sector SPDR ETF,Stock Research for XLP,XLP,1998-12-22,"('Consumer Defensive', None)"
4257,(XLB)  Materials Select Sector SPDR ETF,Stock Research for XLB,XLB,1998-12-22,"('Natural Resources', None)"
4261,(XLI)  Industrial Select Sector SPDR ETF,Stock Research for XLI,XLI,1998-12-22,"('Industrials', None)"
4268,(XLV)  Health Care Select Sector SPDR ETF,Stock Research for XLV,XLV,1998-12-22,"('Health', None)"
4262,(XLK)  Technology Select Sector SPDR ETF,Stock Research for XLK,XLK,1998-12-22,"('Technology', None)"
5064,(XLP)  Consumer Staples Select Sector SPDR ETF,Stock Research for XLP,XLP,1998-12-22,"('Consumer Defensive', None)"
4267,(XLU)  Utilities Select Sector SPDR Fund ETF,Stock Research for XLU,XLU,1998-12-22,"('Utilities', None)"
2243,(LBAI)  Lakeland Bancorp Inc.,Stock Research for LBAI,LBAI,1999-01-04,"('Financial Services', 'Banks—Regional')"
1846,(HTLF)  Heartland Financial USA Inc.,Stock Research for HTLF,HTLF,1999-01-04,"('Financial Services', 'Banks—Regional')"
1435,(FMNB)  Farmers National Banc Corp.,Stock Research for FMNB,FMNB,1999-01-04,"('Financial Services', 'Banks—Regional')"
1561,(GDEN)  Golden Entertainment Inc.,Stock Research for GDEN,GDEN,1999-01-04,"('Consumer Cyclical', 'Resorts & Casinos')"
3620,(STL)  Sterling Bancorp,Stock Research for STL,STL,1999-01-08,"('Financial Services', 'Banks—Regional')"
428,(BDGE)  Bridge Bancorp Inc.,Stock Research for BDGE,BDGE,1999-01-12,"('Financial Services', 'Banks—Regional')"
1837,(HT)  Hersha Hospitality REIT Trust,Stock Research for HT,HT,1999-01-21,"('Real Estate', 'REIT—Hotel & Motel')"
2732,(NVDA)  NVIDIA Corp.,Stock Research for NVDA,NVDA,1999-01-22,"('Technology', 'Semiconductors')"
366,(AXL)  American Axle & Manuf. Hldgs. Inc.,Stock Research for AXL,AXL,1999-01-29,"('Consumer Cyclical', 'Auto Parts')"
1267,(ETM)  Entercom Communications Corp.,Stock Research for ETM,ETM,1999-01-29,"('Communication Services', 'Broadcasting')"
1292,(EWBC)  East West Bancorp Inc.,Stock Research for EWBC,EWBC,1999-02-03,"('Financial Services', 'Banks—Diversified')"
399,(BB)  BlackBerry Limited,Stock Research for BB,BB,1999-02-04,"('Technology', 'Software—Infrastructure')"
2165,(KFY)  Korn/Ferry Intl. Inc.,Stock Research for KFY,KFY,1999-02-11,"('Industrials', 'Staffing & Employment Services')"
4028,(VERU)  Veru Inc.,Stock Research for VERU,VERU,1999-02-11,"('Healthcare', 'Biotechnology')"
1226,(EPAY)  Bottomline Technologies Inc.,Stock Research for EPAY,EPAY,1999-02-12,"('Technology', 'Software—Infrastructure')"
239,(APT)  Alpha Pro Tech Ltd.,Stock Research for APT,APT,1999-02-16,"('Industrials', 'Building Products & Equipment')"
744,(CLBS)  Caladrius Biosciences Inc.,Stock Research for CLBS,CLBS,1999-03-01,"('Healthcare', 'Biotechnology')"
764,(CLSN)  Celsion Corp.,Stock Research for CLSN,CLSN,1999-03-01,"('Healthcare', 'Biotechnology')"
1663,(GPOR)  Gulfport Energy Corp.,Stock Research for GPOR,GPOR,1999-03-03,"('Energy', 'Oil & Gas E&P')"
936,(CVCY)  Central Valley Community Bancorp,Stock Research for CVCY,CVCY,1999-03-08,"('Financial Services', 'Banks—Regional')"
3118,(QQQ)  Invesco QQQ Trust ETF,Stock Research for QQQ,QQQ,1999-03-10,"('Large Growth', None)"
1584,(GGB)  Gerdau SA ADS,Stock Research for GGB,GGB,1999-03-10,"('Basic Materials', 'Steel')"
4848,(QQQ)  Invesco QQQ Trust ETF,Stock Research for QQQ,QQQ,1999-03-10,"('Large Growth', None)"
1982,(INFY)  Infosys Ltd.,Stock Research for INFY,INFY,1999-03-11,"('Technology', 'Information Technology Services')"
2693,(NOVT)  Novanta Inc.,Stock Research for NOVT,NOVT,1999-03-24,"('Technology', 'Scientific & Technical Instruments')"
336,(AUTO)  AutoWeb Inc.,Stock Research for AUTO,AUTO,1999-03-26,"('Communication Services', 'Internet Content & Information')"
2477,(MKSI)  MKS Instruments Inc.,Stock Research for MKSI,MKSI,1999-03-30,"('Technology', 'Scientific & Technical Instruments')"
485,(BKNG)  Booking Holdings,Stock Research for BKNG,BKNG,1999-03-31,"('Consumer Cyclical', 'Travel Services')"
690,(CFFN)  Capitol Federal Financial,Stock Research for CFFN,CFFN,1999-04-01,"('Financial Services', 'Banks—Regional')"
3729,(TEUM)  Pareteum Corp,Stock Research for TEUM,TEUM,1999-04-06,"('Communication Services', 'Telecom Services')"
3813,(TREX)  Trex Co. Inc.,Stock Research for TREX,TREX,1999-04-08,"('Industrials', 'Building Products & Equipment')"
1326,(EXTR)  Extreme Networks Inc.,Stock Research for EXTR,EXTR,1999-04-09,"('Technology', 'Communication Equipment')"
181,(AMNB)  American National Bankshares Inc.,Stock Research for AMNB,AMNB,1999-04-13,"('Financial Services', 'Banks—Regional')"
3917,(UEPS)  Net 1 U.E.P.S. Techs. Inc.,Stock Research for UEPS,UEPS,1999-04-19,"('Technology', 'Software—Infrastructure')"
317,(ATLC)  Atlanticus Holdings Corp,Stock Research for ATLC,ATLC,1999-04-23,"('Financial Services', 'Credit Services')"
2922,(PETS)  PetMed Express Inc.,Stock Research for PETS,PETS,1999-04-26,"('Healthcare', 'Pharmaceutical Retailers')"
1192,(ELOX)  Eloxx Pharmaceuticals Inc.,Stock Research for ELOX,ELOX,1999-04-26,"('Healthcare', 'Biotechnology')"
3417,(SHEN)  Shenandoah Telecommunications Co.,Stock Research for SHEN,SHEN,1999-04-26,"('Communication Services', 'Telecom Services')"
2939,(PGC)  Peapack-Gladstone Financial Corp.,Stock Research for PGC,PGC,1999-04-27,"('Financial Services', 'Banks—Regional')"
1833,(HSII)  Heidrick & Struggles Inc.,Stock Research for HSII,HSII,1999-04-27,"('Industrials', 'Staffing & Employment Services')"
806,(CNX)  CNX Resources Corp.,Stock Research for CNX,CNX,1999-04-30,"('Energy', 'Oil & Gas E&P')"
4306,(YORW)  York Water Co. (The),Stock Research for YORW,YORW,1999-05-03,"('Utilities', 'Utilities—Regulated Water')"
4224,(WTBA)  West Bancorp. Inc.,Stock Research for WTBA,WTBA,1999-05-03,"('Financial Services', 'Banks—Regional')"
1679,(GS)  Goldman Sachs Group (The),Stock Research for GS,GS,1999-05-04,"('Financial Services', 'Capital Markets')"
3797,(TOWN)  TowneBank,Stock Research for TOWN,TOWN,1999-05-05,"('Financial Services', 'Banks—Regional')"
2664,(NLS)  Nautilus Group Inc.,Stock Research for NLS,NLS,1999-05-05,"('Consumer Cyclical', 'Leisure')"
4152,(WCC)  Wesco Intl. Inc.,Stock Research for WCC,WCC,1999-05-12,"('Industrials', 'Industrial Distribution')"
3482,(SMED)  Sharps Compliance Corp.,Stock Research for SMED,SMED,1999-05-24,"('Industrials', 'Waste Management')"
3704,(TCP)  TC PipeLines LP,Stock Research for TCP,TCP,1999-05-25,"('Energy', 'Oil & Gas Midstream')"
4357,($SIXV)  Health Care Select Sector Index,Stock Research for $SIXV,,1999-05-26,"('Financial Services', 'Asset Management')"
4372,($XSP)  CBOE MINI S&P 500 (PM SETTLED) Index,Stock Research for $XSP,,1999-05-26,"('Financial Services', 'Asset Management')"
3166,(RDS.B)  Royal Dutch Shell PLC Class B,Stock Research for RDS.B,,1999-05-26,"('Financial Services', 'Asset Management')"
3165,(RDS.A)  Royal Dutch Shell PLC Class A,Stock Research for RDS.A,,1999-05-26,"('Financial Services', 'Asset Management')"
4371,($XEO)  CBOE S&P 100 Close/Euro-Style Index,Stock Research for $XEO,,1999-05-26,"('Financial Services', 'Asset Management')"
860,(CRD.A)  Crawford & Company,Stock Research for CRD.A,,1999-05-26,"('Financial Services', 'Asset Management')"
4361,($SPX)  S&P 500 Index,Stock Research for $SPX,,1999-05-26,"('Financial Services', 'Asset Management')"
4363,($VIX)  CBOE S&P 500 Volatility Index,Stock Research for $VIX,,1999-05-26,"('Financial Services', 'Asset Management')"
2134,(JW.A)  John Wiley & Sons Inc.,Stock Research for JW.A,,1999-05-26,"('Financial Services', 'Asset Management')"
4356,($SIXU)  Utilities Select Sector Index,Stock Research for $SIXU,,1999-05-26,"('Financial Services', 'Asset Management')"
4355,($SIXRE)  Real Estate Select Sector Index,Stock Research for $SIXRE,,1999-05-26,"('Financial Services', 'Asset Management')"
4360,($SPESG)  S&P 500 ESG Index,Stock Research for $SPESG,,1999-05-26,"('Financial Services', 'Asset Management')"
2277,(LGF.B)  Lions Gate Entertainment Corp.,Stock Research for LGF.B,,1999-05-26,"('Financial Services', 'Asset Management')"
4353,($SIXI)  Industrials Select Sector Index,Stock Research for $SIXI,,1999-05-26,"('Financial Services', 'Asset Management')"
443,(BF.A)  Brown-Forman Corp. Class A,Stock Research for BF.A,,1999-05-26,"('Financial Services', 'Asset Management')"
4354,($SIXM)  Financial Select Sector Index,Stock Research for $SIXM,,1999-05-26,"('Financial Services', 'Asset Management')"
545,(BRK.B)  Berkshire Hathaway Inc. Class B,Stock Research for BRK.B,,1999-05-26,"('Financial Services', 'Asset Management')"
